,H30-1,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
Tabキー、またはCtrl＋下矢印キー
「首相官邸ホームページ　リンク」",,,,,,,,
,H30-2,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
Tabキー、またはCtrl＋下矢印キー
「東京駅構内の最新のルート　リンク」",,,,,,,,
,H30-3,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
Tabキー、またはCtrl＋下矢印キー
「東京駅構内の最新のルート　リンク」",,,,,,,,
,H30-4,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
Tabキー、またはCtrl＋下矢印キー
「首相官邸ホームページ　リンク」",,,,,,,,
,H30-5,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
Tabキー、またはCtrl＋下矢印キー
「施設ご利用の手引き　PDFファイル　リンク」",,,,,,,,
,H32-1,○,"■操作手順
「申し込む」ボタンをEnterキーで押下

■音声読み上げ
「申し込む　のプッシュボタン　確認」
Enterキー",,,,,,,,
,H32-2,○,"■操作手順
セレクトメニューで上下矢印キーで選択肢を選んだ後、[選択したページへ移動する]ボタンを押下

■音声読み上げ
「サイト案内のコンボボックス　選択　トップページ」
下矢印キーで選択肢を変更
Tabキー
「選択したページへ移動する　のプッシュボタン　確認」
Enterキーを押下すると、リンク先ページへ移動",,,,,,,,
,H33-1,×,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「富士通　リンク」（title属性値を読み上げない）",title属性による補足説明があることも知らせない。また、title属性値を読むキー操作もない(?)。,,,,,,,
,H33-2,×,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「富士通公開サイト　リンク」（title属性値を読み上げない）",title属性による補足説明があることも知らせない。また、title属性値を読むキー操作もない(?)。,,,,,,,
,H35,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
Ctrl＋下矢印キーで行読み：　何も読み上げない
Shiftキーで全文読み：「終わり」",,,,,,,,
,H36,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「送信のプッシュボタン　確認」",,,,,,,,
,H37-1,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「東京駅構内図を見る　リンク」",,,,,,,,
,H37-2,○,"■操作手順
Ctrl＋下矢印キーで行読み

■音声読み上げ
「デパートのフロアガイド。各階について詳しくお知りになりたい場合は各階を選択してください　リンク」",,,,,,,,
,H39,○,"■操作手順
Ctrl＋下矢印キーで行読み、またはTキーでテーブルへ移動

■音声読み上げ
Ctrl＋下矢印キーで行読み：「3月6日の週の予定」
Tキーでテーブルへ移動：　「3月6日の週の予定　16の1 テーブル」",表題であることが分かるようには読み上げないが、Tキーで移動した際には表題を読み上げる,,,,,,,
,H42,○,"■操作手順
Hキーで見出し要素へ移動

■音声読み上げ
Hキー
「サイト内ナビゲーション　1の1　見出しレベル2」
Hキー
「本日の株式市場　7の1　見出しレベル1」
Hキー
「関連リンク　15の1　見出しレベル2」",,,,,,,,
,H43,×,"■操作手順
Ctrl＋下矢印キーで行読み

■音声読み上げ
Ctrl＋下矢印キーで読み進めると、
「全国」、「東京」、「大阪」、「男性」、「女性」、「合計」、「男性」、「女性」、「合計」、「15％」・・・
の順で読み上げる",テーブル読み上げ機能がないので、データセルと見出しセルを関連付けての読み上げができない。,,,,,,,
,H44-1,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「お名前　のエディット　文字入力」",,,,,,,,
,H44-2,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読み

■音声読み上げ
「ＨＴＭＬのチェックボックス　切り替え　チェック」",,,,,,,,
,H44-3,○,"■操作手順
Tabキーで移動、またはCtrl＋下矢印キーで行読みでラジオボタンに移動し、矢印キーでラジオボタン間を移動

■音声読み上げ
「チョコレートタイプ　のラジオボタン　選択　チェック」
右矢印または下矢印キー
「クリームたっぷりタイプ　のラジオボタン　選択　チェック」
右矢印または下矢印キー
「はちみつがけタイプ　　のラジオボタン　選択　チェック」",,,,,,,,
,H45,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
Ctrl＋下矢印キー
「会員数の遷移グラフ　画像」",,,,,,,,
,H48-1,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「ボウルにたまごと牛乳を入れ　混ぜます」
Ctrl＋下矢印キー
「塩とコショウを加えます 」",リストであること、リスト項目数、リストの開始/終了位置など、読み上げないのでリストであることが分からない。また、行頭の数字も読み上げない。,,,,,,,
,H48-2,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「牛乳」
Ctrl＋下矢印キー
「卵」
Ctrl＋下矢印キー
「バター」",リストであること、リスト項目数、リストの開始/終了位置など、読み上げないのでリストであることが分からない。,,,,,,,
,H48-3,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「点滅」
Ctrl＋下矢印キー
「一秒間に3～5回点いたり消えたりすること 」",リストであること、リスト項目数、リストの開始/終了位置、用語（dt要素）と定義（dd要素）の区別など、読み上げないのでリストであることが分からない。,,,,,,,
,H49-1,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「彼女が　本当に　言いたかったのは、これは良いどころではなく、むしろ　素晴らしい　ということだった」",強調されていることは分からない。,,,,,,,
,H49-2,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「次の文章は、ヘレンケラーのわが人生の物語からの引用です。」
Ctrl＋下矢印キー
「ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。ここが引用されているブロックです。」",引用元と引用部分が分かるようには読み上げない。,,,,,,,
,H49-3,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「ヘレン・ケラーは言いました、 ""自己憐憫は私たちの最悪の敵です。もし、それに自らを委ねるなら、 私たちは世の中で決して賢明なことができないでしょう。""」",引用部分が分かるようには読み上げない,,,,,,,
,H49-4,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
""Zn2+""　「ゼット エヌ ニ」　
""H2O""　「エイチ ニ オー」","上付き文字、下付き文字であることは分からない。

なめらか読みの設定で「記号を読む」にチェックを入れておくことで、「プラス」を読み上げるようになる。",,,,,,,
,H50-1,×,"■操作手順
Ctrl＋下矢印キーで行読み、またはShiftキーで全文読み

■音声読み上げ
「製品カテゴリ」
Ctrl＋下矢印キー
「キッチン」
Ctrl＋下矢印キー
「ベッドルーム・浴室」
Ctrl＋下矢印キー
「ダイニング 照明」
Ctrl＋下矢印キー
「収納」
Ctrl＋下矢印キー
「検索機能もご利用いただけます」",リストであることが、読み上げではわからない。また、リスト部分をスキップする機能がない。,,,,,,,
