,H30-4,○,"【1】ブラウザの設定を変更して画像非表示にした際に、アイコン画像の代わりに何も表示されず、テキストリンクだけが表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】○
アイコン画像の代わりに何も表示されず、テキストリンク「首相官邸ホームページ」だけが表示されることを確認した。

",,,,
,H30-5,×,"【1】ブラウザの設定を変更して画像非表示にした際に、アイコン画像の代わりに代替テキスト「PDFファイル」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
アイコン画像の代わりに何も表示されず、テキストリンク「施設ご利用の手引き」だけが表示されることを確認した。

",,,,
,H32-1,○,"【1】[申し込む]ボタンを押下（マウス操作：）すると、フォームが送信されるかを確認する。
【2】[申し込む]ボタンを押下（キーボード操作：）すると、フォームが送信されるかを確認する。

","【1】○
[申し込む]ボタンを押下すると、フォームが送信されることを確認した。
【2】○
[申し込む]ボタンを押下すると、フォームが送信されることを確認した。

",,,,
,H32-2,○,"【1】セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンをクリック（マウス操作）すると選択したページへリダイレクトされるかを確認する。
【2】セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンを押下（キーボード操作）すると選択したページへリダイレクトされるかを確認する。

","【1】○
セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンをクリック（マウス操作）すると選択したページへリダイレクトされることを確認した。
【2】○
セレクトメニューで選択肢を選んだだけでは何も起こらず、[選択したページへ移動する]ボタンを押下（キーボード操作）すると選択したページへリダイレクトされることを確認した。

",,,,
,H33-1,△,"【1】マウスポインタをリンク上に置いた際に、ツールチップでtitle属性値「富士通株式会社の公式サイト」が表示されるかを確認する。
【2】リンクにフォーカスを移動させた際に、ツールチップでtitle属性値「富士通株式会社の公式サイト」が表示されるかを確認する。

","【1】○
マウスをリンク上に置いた際にツールチップで「富士通株式会社の公式サイト」と表示されることを確認した。
【2】×
キーボード操作でリンクにフォーカスを移動した際に、ツールチップが表示されないことを確認した。

",,,,
,H33-2,△,"【1】リンク「富士通 公開サイト」にtitle属性値による補足説明があることが分かるように表示されるかを確認する。
【2】リンク「富士通 公開サイト」にマウスポインタを置いた際に、title属性値「新しいウィンドウで開く」がツールチップで表示されるかを確認する。
【3】リンク「富士通 公開サイト」にフォーカスを移動させた際に、title属性値「新しいウィンドウで開く」がツールチップで表示されるかを確認する。

","【1】×
リンクによる下線であり、title属性としての補足説明が表示されていないことを確認した。
【2】○
マウスをリンク上に置いた際にツールチップで「新しいウィンドウで開く」と表示されることを確認した。
【3】×
キーボード操作でリンクにフォーカスを移動した際に、ツールチップが表示されないことを確認した。

",,,,
,H35,×,"【1】アプレットを非表示にした際に、alt属性「三目並べゲーム(alt属性値)」又はapplet要素のボディに記述した代替テキスト「三目並べゲーム(applet要素のボディ)」が表示されるかを確認する。

","【1】×
chromeのデフォルト状態ではアプレットの表示機能が提供されておらず、alt属性、代替テキストの表示は確認できない。

",,,,
,H36,×,"【1】ブラウザの設定を変更して画像非表示にした際に、画像の代わりに代替テキスト「送信」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
代替テキスト「送信」が表示されないことを確認した。

",,,,
,H37-1,×,"【1】ブラウザの設定を変更して画像非表示にした際に、画像の代わりに代替テキスト「東京駅構内図を見る」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
代替テキスト「東京駅構内図を見る」が表示されないことを確認した。

",,,,
,H37-2,×,"【1】ブラウザの設定を画像非表示に変更して、イメージマップ画像の代わりに代替テキスト「デパートのフロアガイド。各階について詳しくお知りになりたい場合は各階を選択してください。」が表示されるかを確認する。

画像非表示の設定は下記の通り実施
ブラウザ右上のボタン→[コンテンツの設定]→“画像”[すべての画像を表示しない]にチェック

","【1】×
代替テキストト「デパートのフロアガイド。各階について詳しくお知りになりたい場合は各階を選択してください。」が表示されないことを確認した。

",,,,
